N,g,two_sqrt_g,C_S4,margin,VALOR,CM,Cert_SHA,parent_M7_SHA
46,5,4.47213595,11.42214869,6.95001274,69500,0,0f25d882a0839133...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
47,4,4.00000000,11.42214869,7.42214869,74221,0,855ecdeb522febf3...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
48,3,3.46410162,11.42214869,7.95804707,79580,0,1ca9cd32f70c10de...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
49,1,2.00000000,11.42214869,9.42214869,94221,1,4c6f9b4b75ab8993...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
50,2,2.82842712,11.42214869,8.59372157,85937,0,b85e24548b798ea9...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
51,5,4.47213595,11.42214869,6.95001274,69500,0,e9f617c64058c825...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
52,5,4.47213595,11.42214869,6.95001274,69500,0,cadbca831bfc246c...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
53,4,4.00000000,11.42214869,7.42214869,74221,0,69af5e1b7faf6590...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
54,4,4.00000000,11.42214869,7.42214869,74221,0,225a14fa0df43690...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
55,5,4.47213595,11.42214869,6.95001274,69500,0,7b0fcfd7c9a43d24...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
56,5,4.47213595,11.42214869,6.95001274,69500,0,bb2f4f826c449d94...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
57,5,4.47213595,11.42214869,6.95001274,69500,0,009bf5d60ac0e584...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
58,6,4.89897949,11.42214869,6.52316920,65231,0,3523931c2e378044...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
59,5,4.47213595,11.42214869,6.95001274,69500,0,9e8d3b15e51eccb6...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
60,7,5.29150262,11.42214869,6.13064607,61306,0,354720a29c74a6f1...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
61,4,4.00000000,11.42214869,7.42214869,74221,0,af2f51ef4d5212cf...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
62,7,5.29150262,11.42214869,6.13064607,61306,0,398f62e5f9b4f9f4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
63,5,4.47213595,11.42214869,6.95001274,69500,0,23e3aa16071fdfd0...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
64,3,3.46410162,11.42214869,7.95804707,79580,1,8b710e72926e75e2...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
65,5,4.47213595,11.42214869,6.95001274,69500,0,2fab64e9379b8818...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
66,9,6.00000000,11.42214869,5.42214869,54221,0,bda161a697547eb4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
67,5,4.47213595,11.42214869,6.95001274,69500,0,04ff5de7b255089f...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
68,7,5.29150262,11.42214869,6.13064607,61306,0,71df72e713a4860e...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
69,7,5.29150262,11.42214869,6.13064607,61306,0,eedee0d42ce555a6...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
70,9,6.00000000,11.42214869,5.42214869,54221,0,dfa3b88fbb45beb2...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
71,6,4.89897949,11.42214869,6.52316920,65231,0,b4bf6122e34ec057...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
72,5,4.47213595,11.42214869,6.95001274,69500,0,1186383fc96ea4f1...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
73,5,4.47213595,11.42214869,6.95001274,69500,0,9c449c50d9587d22...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
